Validation_Set,Topics,Alpha,Beta,Coherence
80% Corpus,5,asymmetric,0.7999999999999999,0.4438969499010096
80% Corpus,5,asymmetric,0.8999999999999999,0.4479318354100257
80% Corpus,5,asymmetric,symmetric,0.3654437169632191
80% Corpus,6,0.5,0.5,0.41941785527145886
80% Corpus,6,0.5,0.6,0.43925341816354896
80% Corpus,6,0.5,0.7,0.449265065986493
80% Corpus,6,0.5,0.7999999999999999,0.43506169021185803
80% Corpus,6,0.5,0.8999999999999999,0.4653541993385995
80% Corpus,6,0.5,symmetric,0.35942295547550174
80% Corpus,6,0.6,0.5,0.4164365587519692
80% Corpus,6,0.6,0.6,0.43966303687580516
80% Corpus,6,0.6,0.7,0.4535813696326594
80% Corpus,6,0.6,0.7999999999999999,0.41159775348852173
80% Corpus,6,0.6,0.8999999999999999,0.457795611829588
80% Corpus,6,0.6,symmetric,0.36299378429966384
80% Corpus,6,0.7,0.5,0.419971177868772
80% Corpus,6,0.7,0.6,0.42059445760031505
80% Corpus,6,0.7,0.7,0.45082750730984295
80% Corpus,6,0.7,0.7999999999999999,0.4145298516148586
80% Corpus,6,0.7,0.8999999999999999,0.4305941390009396
80% Corpus,6,0.7,symmetric,0.3379000637023781
80% Corpus,6,0.7999999999999999,0.5,0.4174982642197868
80% Corpus,6,0.7999999999999999,0.6,0.4191551860230586
80% Corpus,6,0.7999999999999999,0.7,0.4587233844905491
80% Corpus,6,0.7999999999999999,0.7999999999999999,0.43680736615566057
80% Corpus,6,0.7999999999999999,0.8999999999999999,0.44553330116318923
80% Corpus,6,0.7999999999999999,symmetric,0.3910349959329684
80% Corpus,6,0.8999999999999999,0.5,0.41441794510293334
80% Corpus,6,0.8999999999999999,0.6,0.4066139560628099
80% Corpus,6,0.8999999999999999,0.7,0.4669151242073251
80% Corpus,6,0.8999999999999999,0.7999999999999999,0.4001062325474049
80% Corpus,6,0.8999999999999999,0.8999999999999999,0.4623868943275446
80% Corpus,6,0.8999999999999999,symmetric,0.3590060866272011
80% Corpus,6,symmetric,0.5,0.40430495527801974
80% Corpus,6,symmetric,0.6,0.40002012928311487
80% Corpus,6,symmetric,0.7,0.4589826206946128
80% Corpus,6,symmetric,0.7999999999999999,0.4442417507202274
80% Corpus,6,symmetric,0.8999999999999999,0.46571333879752
80% Corpus,6,symmetric,symmetric,0.3479717856116384
80% Corpus,6,asymmetric,0.5,0.401423492726435
80% Corpus,6,asymmetric,0.6,0.43428955639833816
80% Corpus,6,asymmetric,0.7,0.49945081433813776
80% Corpus,6,asymmetric,0.7999999999999999,0.4910559465575524
80% Corpus,6,asymmetric,0.8999999999999999,0.49036354502385143
80% Corpus,6,asymmetric,symmetric,0.3550046572826134
80% Corpus,7,0.5,0.5,0.4418340641734225
80% Corpus,7,0.5,0.6,0.42980481955779837
80% Corpus,7,0.5,0.7,0.4170718968064876
80% Corpus,7,0.5,0.7999999999999999,0.4332544363390641
80% Corpus,7,0.5,0.8999999999999999,0.4167409605072245
80% Corpus,7,0.5,symmetric,0.3995826530359082
80% Corpus,7,0.6,0.5,0.4479949558510282
80% Corpus,7,0.6,0.6,0.44512374574995583
80% Corpus,7,0.6,0.7,0.42550163204887764
80% Corpus,7,0.6,0.7999999999999999,0.40465050762576144
80% Corpus,7,0.6,0.8999999999999999,0.38967147117835566
80% Corpus,7,0.6,symmetric,0.4007368803548363
80% Corpus,7,0.7,0.5,0.44438202903178226
80% Corpus,7,0.7,0.6,0.44535665690572196
80% Corpus,7,0.7,0.7,0.423027078724605
80% Corpus,7,0.7,0.7999999999999999,0.42047213949068335
80% Corpus,7,0.7,0.8999999999999999,0.40465023479096285
80% Corpus,7,0.7,symmetric,0.3913848218996963
80% Corpus,7,0.7999999999999999,0.5,0.4421310897692776
80% Corpus,7,0.7999999999999999,0.6,0.4424291287968362
